id_municipio,nome_municipio,capital,regiao_metropolitana,sigla_uf,nome_uf,domicilios,populacao,area,taxa_alfabetizacao,idade_mediana,razao_sexo,indice_envelhecimento,populacao_indigena,populacao_indigena_terra_indigena,populacao_quilombola,populacao_quilombola_territorio_quilombola
1400704,Uiramutã,0,,RR,Roraima,2339,13695,8114,87.529,15,105.76,5.4,13264,12213,0,0
1200435,Santa Rosa do Purus,0,,AC,Acre,1344,6717,6156,77.397,17,103.73,7.68,4297,2639,0,0
1400407,Normandia,0,,RR,Roraima,2719,13893,6960,91.823,17,106.53,8.23,12397,10081,0,0
1200328,Jordão,0,,AC,Acre,2003,9201,5357,81.876,18,107.1,6.55,4109,3273,0,0
1303908,São Paulo de Olivença,0,,AM,Amazonas,6010,32931,19659,85.195,19,105.88,11.12,26603,12081,0,0
1302306,Jutaí,0,,AM,Amazonas,4845,24981,69457,84.097,19,106.14,9.52,8148,3798,0,0
1504505,Melgaço,0,,PA,Pará,5715,27714,6774,80.117,19,109.43,9.25,11,0,0,0
1501105,Bagre,0,,PA,Pará,5748,31715,4397,82.553,19,103.93,8.67,1,0,869,463
1400027,Amajari,0,,RR,Roraima,2996,13715,28473,68.174,19,110,11.29,9651,8966,0,0
1200393,Porto Walter,0,,AC,Acre,2611,10735,6446,81.098,20,110.37,9.98,868,654,0,0
1200351,Marechal Thaumaturgo,0,,AC,Acre,4321,17093,8191,77.175,20,110.25,10.13,3355,2119,0,0
1300201,Atalaia do Norte,0,,AM,Amazonas,3390,15195,76508,77.182,20,106.25,10.91,7769,5138,0,0
1304237,Tonantins,0,,AM,Amazonas,3380,19232,6447,86.882,20,107.16,11.21,10649,3511,0,0
1302801,Maraã,0,,AM,Amazonas,3021,15388,16831,84.341,20,109.71,9.3,3021,855,0,0
1302108,Japurá,0,,AM,Amazonas,1735,8767,55827,87.628,20,112.37,8.93,2590,1291,0,0
1303700,Santo Antônio do Içá,0,,AM,Amazonas,5253,28142,12366,85.631,20,104.07,11.35,18837,6258,0,0
1301951,Itamarati,0,,AM,Amazonas,2333,10910,25260,73.564,20,107.06,10.81,1953,1748,0,0
1503754,Jacareacanga,0,,PA,Pará,5086,23845,53305,88.787,20,109.39,9.47,14213,11780,0,0
1400050,Alto Alegre,0,Região Metropolitana da Capital,RR,Roraima,5060,21028,25454,63.186,20,108.46,13.09,12712,11975,0,0
1300631,Beruri,0,,AM,Amazonas,4556,20671,17473,82.987,21,108.77,13.3,2726,869,0,0
1304260,Uarini,0,,AM,Amazonas,3057,14261,10275,88.073,21,112.6,11.94,3608,621,0,0
1301803,Ipixuna,0,,AM,Amazonas,4806,24038,12110,75.843,21,104.16,9.79,2337,1752,0,0
1300607,Benjamin Constant,0,,AM,Amazonas,7742,37538,8705,87.298,21,102.71,13.98,17786,11804,0,0
1300029,Alvarães,0,,AM,Amazonas,3398,15828,5923,87.633,21,107.94,13.09,5572,1052,72,0
1300060,Amaturá,0,,AM,Amazonas,2156,10812,4754,85.128,21,105.41,13.02,9947,3624,0,0
1303601,Santa Isabel do Rio Negro,0,,AM,Amazonas,2740,14099,62800,84.104,21,105.99,13.91,13574,5899,0,0
1500701,Anajás,0,,PA,Pará,6369,27905,6914,77.419,21,107.44,11.77,5,0,0,0
1400456,Pacaraima,0,,RR,Roraima,3958,17365,8025,9.423,21,104.68,9.52,10909,10909,0,0
1400159,Bonfim,0,Região Metropolitana da Capital,RR,Roraima,3498,13855,8080,91.309,21,108.18,15.04,6460,5228,0,0
1200609,Tarauacá,0,,AC,Acre,11273,42871,20169,78.507,22,110.33,14.67,3757,2748,0,0
1303502,Pauini,0,,AM,Amazonas,3960,19304,41625,75.884,22,113.29,13.28,3948,1353,0,0
1302900,Maués,0,,AM,Amazonas,13271,60966,39991,93.837,22,109.88,17.25,11375,6120,0,0
1300508,Barreirinha,0,,AM,Amazonas,6895,30872,5752,93.965,22,109.22,16.84,8241,4282,1885,1137
1301605,Fonte Boa,0,,AM,Amazonas,5345,25732,12155,86.069,22,106.67,14.88,7735,557,0,0
1303809,São Gabriel da Cachoeira,0,,AM,Amazonas,10603,51258,109193,90.595,22,104.23,16.1,47815,24546,0,0
1300409,Barcelos,0,,AM,Amazonas,4253,18697,122461,78.713,22,109.59,15.3,14082,4841,83,0
1302207,Juruá,0,,AM,Amazonas,2529,10729,19443,7.936,22,107.74,13.81,1211,358,0,0
1301407,Eirunepé,0,,AM,Amazonas,8130,33061,14966,74.719,22,102.89,16.01,2785,1773,0,0
1304062,Tabatinga,0,,AM,Amazonas,13839,66438,3260,90.447,22,99.69,13.11,34374,19195,0,0
1600154,Pedra Branca do Amapari,0,,AP,Amapá,3290,12807,9622,91.297,22,108.42,10.68,1676,1571,0,0
1600550,Pracuúba,0,,AP,Amapá,913,3800,4949,89.874,22,110.11,14.92,3,0,0,0
2101731,Belágua,0,,MA,Maranhão,2070,8460,570,76.352,22,112.67,15.13,1,0,0,0
2105476,Jenipapo dos Vieiras,0,,MA,Maranhão,4678,17073,1962,72.093,22,105.76,16.89,7880,7701,0,0
5102603,Campinápolis,0,,MT,Mato Grosso,3756,15320,5979,83.815,22,105.17,16.85,8451,7887,0,0
1505809,Portel,0,,PA,Pará,13286,61905,25385,79.452,22,109.21,13.3,25,0,599,301
1501808,Breves,0,,PA,Pará,24356,106633,9567,811,22,106.94,15.86,822,0,0,0
1502806,Curralinho,0,,PA,Pará,8164,33830,3617,83.142,22,111.37,14.77,13,0,1738,0
1200427,Rodrigues Alves,0,,AC,Acre,4197,14919,3076,79.956,23,108.89,16.83,85,0,0,0
1200344,Manoel Urbano,0,,AC,Acre,3242,11989,10631,77.833,23,111.35,15.17,962,500,0,0
